"player","acronym","public","role","product","marketshare"
"Ministerio de Minas y Energía","MME","1","Policy","Power","0.0"
"Ministerio de Minas y Energía","MME","1","Regulation","Power","0.0"
"Ministerio de Minas y Energía","MME","1","Generation","Power","0.0"
"Ministerio de Minas y Energía","MME","1","Transmission","Power","0.0"
"Ministerio de Minas y Energía","MME","1","Dispatch Coordination","Power","0.0"
"Ministerio de Minas y Energía","MME","1","Commercialization","Power","0.0"
"Ministerio de Minas y Energía","MME","1","Distribution/Final Sale","Power","0.0"
"Comisión de Regulación de Energía y Gas","CREG","1","Regulation","Power","0.0"
"Comisión de Regulación de Energía y Gas","CREG","1","Generation","Power","0.0"
"Comisión de Regulación de Energía y Gas","CREG","1","Transmission","Power","0.0"
"Comisión de Regulación de Energía y Gas","CREG","1","Dispatch Coordination","Power","0.0"
"Comisión de Regulación de Energía y Gas","CREG","1","Commercialization","Power","0.0"
"Comisión de Regulación de Energía y Gas","CREG","1","Distribution/Final Sale","Power","0.0"
"Superintendencia de Servicios Publicos Domiciliarios","SSPD","1","Regulation","Power","0.0"
"Superintendencia de Servicios Publicos Domiciliarios","SSPD","1","Generation","Power","0.0"
"Superintendencia de Servicios Publicos Domiciliarios","SSPD","1","Transmission","Power","0.0"
"Superintendencia de Servicios Publicos Domiciliarios","SSPD","1","Dispatch Coordination","Power","0.0"
"Superintendencia de Servicios Publicos Domiciliarios","SSPD","1","Commercialization","Power","0.0"
"Superintendencia de Servicios Publicos Domiciliarios","SSPD","1","Distribution/Final Sale","Power","0.0"
"XM Compañía de Expertos en Mercado S.A E.S.P","XM","1","Dispatch Coordination","Power","1.0"
"Grupo EPM","","1","Generation","Power","0.19"
"Grupo EPM","","1","Transmission","Power","0.09"
"Grupo EPM","","1","Distribution/Final Sale","Power","0.26"
"Emgesa","","0","Generation","Power","0.17"
"ISAGEN","ISAGEN","1","Generation","Power","0.13"
"ISAGEN","ISAGEN","1","Distribution/Final Sale","Power","0.06"
"AES Chivor","AES","0","Generation","Power","0.07"
"Empresa Energía del Pacífico","EPSA","0","Generation","Power","0.07"
"Empresa Energía del Pacífico","EPSA","0","Transmission","Power","0.05"
"Gecelca","","1","Generation","Power","0.08"
"Gecelca","","1","Distribution/Final Sale","Power","0.04"
"Other PW generation companies","","0","Generation","Power","0.29"
"Grupo ISA","ISA","1","Transmission","Power","0.47"
"Empresa de Energia de Bogota EEB","EEB","1","Transmission","Power","0.06"
"Electricaribe","","0","Transmission","Power","0.06"
"Other Transmission Companies","","0","Transmission","Power","0.22"
"Codensa","","0","Transmission","Power","0.05"
"Codensa","","0","Distribution/Final Sale","Power","0.23"
"Gas Natural Fenosa","","0","Distribution/Final Sale","Power","0.19"
"Empresas Municipales del Cali","EMCALI","0","Distribution/Final Sale","Power","0.06"
"Other Distribution/final sale companies","","0","Distribution/Final Sale","Power","0.16"
"Industry","","0","Consumption","Power","0.28"
"Residential","","0","Consumption","Power","0.41"
"Commercial","","0","Consumption","Power","0.21"
"Other","","0","Consumption","Power","0.06"
"Public Service","","0","Consumption","Power","0.04"
