"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1905","Ley 6 de 1905","","","1","0","Ley de autorizacion de primeras concesiones petroleras en el país","0","1"
"1928","Ley 113 de 1928","","","1","0","Ley que declaró de utilidad pública el aprovechamiento de la fuerza hidráulica como principal fuente de energía.","1","0"
"1936","Ley 109 de 1936","","","1","1","Ley de tarifas y reglamentos de empresas de energía electrica y acueductos a domicilio","1","0"
"1946","Ley 80 de 1946","","","1","1","Creación del Instituto Nacional de aprovechamiento de aguas y fomento eléctrico","1","0"
"1951","Decreto 30 de 1951","","","1","0","Creación de la Empresa Colombiana de Petróleos - ECOPETROL","0","1"
"1953","Decreto Ley 1056 de 1953","","","1","1","Código de Petróleos","0","1"
"1961","Ley 10 de 1961","","","1","1","Ley que declara al gas natural como hidrocarburo separado del petróleo.","0","1"
"1974","Decreto Ley 636 de 1974","","","1","0","Creación del Ministerio de Minas y Energía","1","1"
"1974","Decreto 2310 de1974","","","1","0","Suspension de régimen de concesiones petroleras e instauración del Contrato de Asociación","0","1"
"1987","Ley 39 de 1987","","","1","0","Declara como servicio público la distribución de combustibles líquidos derivados del petróleo.","0","1"
"1989","Ley 51 de 1989","","","1","0","Creación de la Comisión Nacional de Energía -CNE- para orientar,integrar y coordinar las politicas del sector","1","0"
"1991","Constitución Nacional de la República de Colombia de 1991","","","1","0","Definió el regimen económico de la nación colombiana","1","1"
"1994","Ley 142 de 1994","","","1","0","Ley de Servicios Públicos Domiciliarios","1","1"
"1994","Ley 143 de 1994","","","1","0","Ley Eléctrica","1","0"
"1997"," Ley 401 de 1997","","","1","0","Creación de la Empresa Colombiana de Gas- ECOGAS","0","1"
"2000","Ley  633 de 2000","","","1","1","Creación del Fondo de Apoyo Financiero para Energización de Zonas No Interconectadas-FAZNI","1","0"
"2001","Ley 697 de 2001","","","1","0","Ley de Uso Racional y Eficiente de la Energía","1","1"
"2002","Ley 788 de 2002","","","1","0","Creacion del Fondo de Apoyo Financiero para Energización de Zonas Rurales Interconectadas-FAER","1","0"
"2003","Decreto 1760 de 2003","","","1","0","Creacion de la Agencia Nacional de Hidrocarburos ANH y cambio de la naturaleza jurídica de ECOPETROL","0","1"
"2003","Ley 855 de 2003","","","1","1","Definió legalmente las Zonas No Interconectadas-ZNI","1","0"
"2006","Resolución CREG 071 de 2006","","","0","1","Creación de esquema de Cargo por Confiabilidad para generadores","1","0"
"2006","Ley 1117 de 2006","","","1","1","Ley de normalización de redes electricas y subsidios a los servicios públicos de energia electrica y gas natural","1","1"
"2006","Ley 1118 de 2006","","","1","0","Autoriza la participación de accionistas privados en el capital de ECOPETROL S.A","0","1"
"2008","Ley 1205 de 2008","","","1","1","Establece calidad del diesel consumido en el país: Fija topes máximos de contenido de azufre.","0","1"
"2009","Ley 1274 de 2009","","","1","1","Nuevo Régimen de Servidumbres Petroleras","0","1"
"2009","Resolución 181495 de 2009","","","1","1","Reglamento de Exploracion y Explotacion de hidrocarburos.","0","1"
"2010","Resolucion 124386 de 2010","","","0","1","Establece normas de transporte de crudo por oleoductos.","0","1"
"2010","Resolución 180919 de 2010","","","0","1","Fomento al desarrollo y uso de fuentes renovables no convencionales para generación eléctrica","1","0"
"2011","Acto Legislativo-Reforma Constitucional 05 de 2011","","","1","0","Reforma constitucional al Régimen de regalias derivadas de la explotación de recursos naturales no renovables","0","1"
"2012","Resolución 180742 de 2012","","","1","1","Reglamento de exploración y explotación de yacimientos de hidrocarburos no convencionales.","0","1"
"2012","Ley 1530 de 2012","","","1","0","Nuevo Régimen Legal de Regalías. Crea el Sistema General de Reglías SGR.","0","1"
"2013","Decreto 1260 de 2013","","","1","0","La CREG asume la función de expedir la regulación económica de la cadena de combustibles líquidos derivados de los hidrocarburos.","0","1"
"2013","Resolucion 90924 de 2013","","","1","1","Dispone la promoción y cofinanciación de la expansión de la red nacional de propanoductos.","0","1"
"2014","Ley 1715 de 2014","","","1","1","Ley de integración de las Energías renovables no convencionales al sistema energético nacional.","1","1"
"2014","Decreto 2682 de 2014","","","1","1","Establece condiciones y requisitos para la declaratoria de Zonas Francas Permanentes para proyectos de hidrocarburos Offshore","0","1"
