"player","acronym","public","role","product","marketshare"
"Comisión Nacional de Energía","CNE","1","Policy","Power","0.0"
"Comisión Nacional de Energía","CNE","1","Generation","Power","0.0"
"Comisión Nacional de Energía","CNE","1","Transmission","Power","0.0"
"Comisión Nacional de Energía","CNE","1","Dispatch Coordination","Power","0.0"
"Comisión Nacional de Energía","CNE","1","Commercialization","Power","0.0"
"Comisión Nacional de Energía","CNE","1","Distribution/Final Sale","Power","0.0"
"Comisión Nacional de Energía","CNE","1","Consumption","Power","0.0"
"Superintendencia de Electricidad","SIE","1","Regulation","Power","0.0"
"AES - (ITABO 50%, AES Los Andes)","","0","Generation","Power","0.43"
"Corporación Dominicana de Empresas Eléctricas Estatales - (EGEHID, EDESUR, EDENORTE, EDESTE, ETED)","CDEEE","1","Policy","Power","0.0"
"Corporación Dominicana de Empresas Eléctricas Estatales - (EGEHID, EDESUR, EDENORTE, EDESTE, ETED)","CDEEE","1","Generation","Power","0.12"
"Corporación Dominicana de Empresas Eléctricas Estatales - (EGEHID, EDESUR, EDENORTE, EDESTE, ETED)","CDEEE","1","Transmission","Power","1.0"
"Corporación Dominicana de Empresas Eléctricas Estatales - (EGEHID, EDESUR, EDENORTE, EDESTE, ETED)","CDEEE","1","Distribution/Final Sale","Power","1.0"
"AEI - San Felipe","","0","Generation","Power","0.07"
"Monte Rio","","0","Generation","Power","0.05"
"EGE HAINA","","0","Generation","Power","0.1"
"Generadora Palamara La Vega","GPLV","0","Generation","Power","0.09"
"Other power generation companies","","0","Generation","Power","0.14"
"Organismo Coordinador","OC","0","Dispatch Coordination","Power","1.0"
"Industry","","0","Consumption","Power","0.407326804498"
"Residential","","0","Consumption","Power","0.329996372869"
"Commercial and Public Service","","0","Consumption","Power","0.152919840406"
"Other","","0","Consumption","Power","0.109756982227"
