"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1990","Ley 1182 de 1990","","","1","0","Ley de Inversiones que define los contratos de Riesgo Compartido","0","1"
"1994","Ley 1600 de 1994","","","1","1","Creación del  Sistema de Regulación Sectorial SIRESE (entes reguladores)","1","1"
"1994","Ley 1544 de 1994","","","1","0","Constitución de Sociedades de Economía Mixta y su capitalización","1","1"
"1994","Ley 1604 de 1994","","","1","1","Ley de Electricidad","1","0"
"1995","Decreto Supremo 24043 de 1995","","","1","1","Reglamentos Operación Mercado Eléctrico,  Licencias y Concesiones, Uso Bienes Dominio Público, Precios/ Tarifas","1","0"
"1996","Ley 1689 de 1996","","","1","1","Ley de Hidrocarburos","0","1"
"1997","Decreto Supremo 24914 de 1997","","","1","1","Reglamento sobre Régimen de Precios de Productos del Petróleo","0","1"
"1997","Decreto Supremo 24772 de 1997","","","1","1","Reglamento de Electrificación Rural","1","0"
"2000","Decreto Supremo 26037 de 2000","","","1","1","Fijación precio fijo para el gas natural para actividades de generación","1","0"
"2001","Ley 26094 de 2001","","","1","1","Reglamento de Precios y Tarifas de Electricidad","1","0"
"2002","Decreto Supremo 26607 de 2002","","","1","1","Reglamento de Calidad de Distribución de Electricidad","1","0"
"2004","Decreto Supremo 27507 de 2004","","","1","0","Referéndum Vinculante sobre la recuperación de la propiedad de Hidrocarburos","0","1"
"2004","Decreto Supremo 27343 de 2004","","","1","1","Nueva Política de Precios de Gas Licuado de Petróleo","0","1"
"2005","Ley 3058 de 2005","","","1","1","Nueva Ley de Hidrocarburos","0","1"
"2005","Decreto Supremo 28291 de 2005","","","1","1","Reglamento de Distribución de Gas Natural y Líneas de Recolección","0","1"
"2005","Decreto Supremo 28324 de 2005","","","1","0","Establecimiento de Nuevos Estatutos de YPFB tras la Nacionalización de Hidrocarburos","0","1"
"2006","Decreto Supremo 28701 de 2006","","","1","0","Decreto de Nacionalización de Hidrocarburos ““Héroes del Chaco”. ","0","1"
"2006","Decreto Supremo 28653 de 2006","","","1","1","Creación de la Tarifa Dignidad","1","0"
"2007","Decreto Supremo 29272 de 2007","","","1","0","Plan Nacional de Desarrollo","1","1"
"2007","Decreto Supremo 29158 de 2007","","","0","1","Mecanismos de control y sanción a la ilícita distribución, transporte y comercialización de GLP, diésel oíl y gasolinas","0","1"
"2007","Decreto Supremo 29130 de 2007","","","1","0","Creación de Petroandina SAM por asociación entre YPFB (Bolivia) y PDVSA (Venezuela)","0","1"
"2007","Decreto Supremo 29018 de 2007","","","1","1","Reglamento de Transporte por Oleoductos y Poliductos","0","1"
"2008","Decreto Supremo 29635 de 2008","","","1","0","Programa Electricidad para Vivir con Dignidad (PEVD)","1","0"
"2008","Decreto Supremo 29644 de 2008","","","1","0","Creación Programa Refundación y adquisición de naturaleza jurídica de Empresa Pública Nacional Estratégica de ENDE","1","0"
"2009","Constitución Política del Estado de 2009","","","1","1","Establece el régimen económico de la nación.","1","1"
"2009","Decreto Supremo 29894 de 2009","","","1","0","Competencias y atribuciones de MHE","1","1"
"2009","Decreto Supremo 0071 de 2009","","","1","0","Creación de la Autoridad de Fiscalización y Control Social de Electricidad  (AE)","1","0"
"2009","Resolución Administrativa 474 de 2009","","","1","0","Creación de la Agencia Nacional de Hidrocarburos  (ANH)","0","1"
"2010","Decreto Supremo 493 de 2010","","","1","0","Nacionalización de las empresas generadoras en favor de ENDE","1","0"
"2010","Decreto Supremo 465 de 2010","","","1","1","Ampliación beneficio de Tarifa Dignidad","1","0"
"2013","Ley 466 de 2013","","","1","1","Ley de Empresa Pública","1","1"
"2013","Decreto Supremo 1344 de 2013","","","1","1","Creación del Programa de transformación de vehículos diésel a GNV","0","1"
"2013","Decreto Supremo 1517 de 2013","","","1","0","Establece operador preferente en actividad de distribución","1","0"
"2013","Decreto Supremo 1536 de 2013","","","1","1","Creación del Fondo de Estabilización del Mercado Eléctrico Mayorista y del Fondo de Estabilización de Distribución ","1","0"
"2014","Decreto Supremo 1996 de 2014","","","1","1","Modificación Reglamento de Distribución de Gas Natural y Líneas de Recolección. Categorías de usuarios de Gas Natural","0","1"
"2014","Decreto Supremo 1908 de 2014","","","1","1","Modificación Reglamento de Transporte por Oleoductos y Poliductos","0","1"
"2014","Decreto Supremo 2103","","","1","1","Normas de otorgamiento de permisos de exportación de hidrocarburos líquidos","0","1"
"2014","Decreto Supremo 1948 de 2014","","","1","1","Prorroga Tarifa Dignidad hasta 2018","1","0"
"2015","Decreto Supremo 2255 de 2015","","","0","1","Lineamientos precios del GNC para comercialización en mercado interno por sistema de compresión, transporte y descarga","0","1"
