gdp,country,population
49204456700,Brazil,98402200
99271961477,Canada,21645535
3062955356784,World,3740400880
270650000,Suriname,372619
1167770000000,USA,207661000
896763407,Trinidad & Tobago,956364
1214144800,Panama,1563113
1077152880,Costa Rica,1898366
166564460755,France,52480421
573400000,Bahamas,173867
8069766829,Peru,13704333
124261125780,Italy,54073490
33293199095,Argentina,24366442
1095454545,Bolivia,4600596
14583114840,Norway,3903039
2754220263,Ecuador,6248831
929369453929,Europe,439933185
5573108412,Israel,3069000
10418262998,Korea,32882704
6914658389,Cuba,8869961
1186119999,El Salvador,3765252
14471557937,Venezuela,11937803
,Slovenia,1738335
1984800000,Guatemala,5577824
98562023844,China,841105000
10694569522,Chile,9741579
29981318394,Belgium,9673162
249039217364,Germany,78312842
1666400000,Dominican Republic,4631114
59207317,Belize,124792
46492797365,Spain,34191678
44010160463,Netherlands,13194497
96608530667,Southern Cone,137863845
18823150290,Denmark,4963126
12536710287,Finland,4612124
1306242840893,North America,283026082
40980345656,Sweden,8098334
2807258064,Uruguay,2818269
,Croatia,4435000
282050000,Guyana,703811
,Switzerland,6213399
,Haiti,4793157
1539862371,Jamaica,1895629
731000000,Honduras,2766444
9202512367,Portugal,8643756
34211367468,Andean,59103551
7021787634,Central America,18043655
39200879415,Mexico,53719547
68532271313,India,566605402
181145590964,LAC,281006862
148113896325,United Kingdom,55896223
17815464919,Austria,7500482
7820367892,Colombia,22611988
609047284,Paraguay,2535355
236154755295,Japan,105697000
828569953,Nicaragua,2472656
,Barbados,240038
