gdp,country,population
863723395088,Brazil,170516482
631813279406,Canada,30247900
30754705078574,World,5931779509
945000000,Suriname,469108
9089168000000,USA,275854000
6043694330,Trinidad & Tobago,1262544
11575510300,Panama,2911383
14101753567,Costa Rica,3767369
1510758283299,France,60186291
5353524000,Bahamas,290054
54534476411,Peru,25199744
1266309223820,Italy,56906744
298948250000,Argentina,36241578
8497545598,Bolivia,8026257
154165219811,Norway,4431464
27981896948,Ecuador,12163887
9476759289524,Europe,481554038
115838004263,Israel,5971000
376481975682,Korea,46286503
25736600000,Cuba,11041893
12008400000,El Salvador,5736075
91338542541,Venezuela,23565734
22125432775,Slovenia,1981629
19393672243,Guatemala,11136814
1025276902078,China,1241935000
79373597080,Chile,14788609
260602356079,Belgium,10203008
2243225519617,Germany,82047195
21171583983,Dominican Republic,8296375
688992450,Belize,230289
617041986858,Spain,39721108
432476116418,Netherlands,15707209
1276455737850,Southern Cone,229928109
176992000955,Denmark,5304219
133936359590,Finland,5153498
10222991547670,North America,405734199
266800462898,Sweden,8850974
25385928198,Uruguay,3292134
25432144406,Croatia,4501000
717530683,Guyana,737316
294977518761,Switzerland,7110001
3723909226,Haiti,8258484
8718300136,Jamaica,2556780
5202215657,Honduras,5985675
123981736420,Portugal,10160196
280796204690,Andean,108189681
66916818993,Central America,34406943
502010268264,Mexico,99632299
428740690379,India,1016402907
2165836517476,LAC,492531215
1537103345478,United Kingdom,58487141
217683626056,Austria,7976789
98443743190,Colombia,39234059
9024567484,Paraguay,5089306
3914574887342,Japan,126400000
4635267224,Nicaragua,4869627
2874260304,Barbados,267949
