gdp,period,population
12403147005,2005-2008,2657764
7450324787,1997,2534069
9399452787,2003,2624695
2754549685,1986,2335800
3287007227,1987,2350600
2373564490,1984,2279900
2100239023,1985,2311100
3293496325,1982,2200100
3619262273,1983,2240800
2679379382,1980,2133000
2979027979,1981,2162300
9126805309,1999-2002,2596121
3828342819,1988,2356400
4404938021,1989,2374900
6504445801,1996,2509923
13927110141,2014,2720554
14396816914,2011,2699838
13190512703,2010,2690824
14262303586,2013,2714669
14746420946,2012,2707805
1923998131,1971-1974,1940680
11204416000,2005,2643601
14005654598,2015,2725941
2628840106,1984-1987,2319350
4071219198,1991,2406042
4592208207,1990,2390000
4859766160,1993,2441024
3530892749,1992,2423044
5779285207,1995,2480000
4907861405,1994,2460002
2425064204,1979,2104141
2644527902,1978,2080307
3249733202,1977,2059399
2966042913,1976,2037716
2860442805,1975,2013000
2375122420,1974,1985852
1905861121,1973,1956080
1875146615,1972,1925162
1539862371,1971,1895629
9694161516,2002,2615253
8795765306,1999,2574289
8929375580,2000,2589389
9087918836,2001,2605556
11905525197,2006,2653042
12824094989,2007,2662481
10150978154,2004,2634145
8718300136,1998,2556780
13678551837,2008,2671934
12037473160,2009,2681386
