gdp,period,population
24662821248,2005-2008,4338901
12828975924,1997,3682725
17517536016,2003,4125970
5477895474,1986,2800986
5841132961,1987,2872214
4593908761,1984,2659772
4796628461,1985,2730231
2606621245,1982,2521163
3976453953,1983,2589932
4831447173,1980,2389309
2623807081,1981,2454127
16247747940,1999-2002,3958545
6063759370,1988,2944560
6866402028,1989,3018953
11843228539,1996,3596733
49552639049,2014,4757606
41237293551,2011,4600487
36298327620,2010,4545273
49236713603,2013,4706433
45300669857,2012,4654148
1377716374,1971-1974,1971684
19964925502,2005,4247843
51106697023,2015,4807850
5177391414,1984-1987,2765800
7162546761,1991,3175654
7403457319,1990,3095994
9638291586,1993,3341005
8573611050,1992,3257463
11722357067,1995,3510925
10557530654,1994,3425692
4035519466,1979,2326708
3523208935,1978,2266153
3072427122,1977,2207727
2412555511,1976,2151492
1960863535,1975,2097410
1666544790,1974,2045580
1528916175,1973,1995744
1238251652,1972,1947048
1077152880,1971,1898366
16844378578,2002,4063208
15796567138,1999,3848725
15946443103,2000,3925450
16403602943,2001,3996800
22526463618,2006,4308790
26322000105,2007,4369465
18596365926,2004,4187039
14101753567,1998,3767369
29837895769,2008,4429506
29382694860,2009,4488261
