gdp,country,population
200800891870,Brazil,116532153
218632867449,Canada,24036000
8021365471004,World,4260746916
735500000,Suriname,361463
2356571000000,USA,222585000
3562333316,Trinidad & Tobago,1054109
2607864900,Panama,1884512
3523208935,Costa Rica,2266153
508183139534,France,54947975
832400000,Bahamas,201511
12162093074,Peru,16491087
314019079397,Italy,56155143
58082870156,Argentina,27277742
3758220889,Bolivia,5350320
46523091009,Norway,4058671
11922502170,Ecuador,7571953
2662128924972,Europe,456150924
13618844018,Israel,3690000
54273760330,Korea,36969185
17844705319,Cuba,9711393
3127960000,El Salvador,4415625
46507640231,Venezuela,14525929
,Slovenia,1862548
6070600199,Guatemala,6754258
148382111520,China,956165000
15399431310,Chile,10907901
101788571282,Belgium,9839534
737668356280,Germany,78091820
4774399999,Dominican Republic,5543520
136300000,Belize,138972
160163483072,Spain,36872506
153870462415,Netherlands,13941700
281543779777,Southern Cone,160606599
60281337504,Denmark,5104248
36283091407,Finland,4752528
2677721317475,North America,312646613
102969762221,Sweden,8275599
4910257282,Uruguay,2875970
,Croatia,4556000
507079999,Guyana,773227
,Switzerland,6281738
,Haiti,5450550
2644527902,Jamaica,2080307
1929499949,Honduras,3413426
23489924726,Portugal,9558250
97613968323,Andean,70441461
19386833964,Central America,21799092
102517450025,Mexico,66025613
139708688961,India,665936435
512043293310,LAC,333001251
335883029721,United Kingdom,56196504
61902774945,Austria,7562305
23263511958,Colombia,26502172
2350329157,Paraguay,3012833
996741758196,Japan,114898000
2127699978,Nicaragua,3065118
,Barbados,250035
