gdp,period,population
446906726399,2005-2008,10590562
254813937753,1997,10181245
319003386004,2003,10376133
120661334386,1986,9861823
150194219665,1987,9870234
83795759983,1984,9855372
86730120728,1985,9858308
92588982518,1982,9856303
87650998816,1983,9855520
127508322941,1980,9859242
105290713602,1981,9858982
248702325571,1999-2002,10274256
163168007789,1988,9901664
165100250614,1989,9937697
281357654723,1996,10156637
531234803749,2014,11231213
526975257158,2011,11047744
483577483443,2010,10895586
521370527591,2013,11182817
497815990388,2012,11128246
42930604301,1971-1974,9724604
387365999253,2005,10478617
454039037373,2015,11285721
110345358690,1984-1987,9861434
211638016538,1991,10004486
206431036697,1990,9967379
225924893540,1993,10084475
236038607528,1992,10045158
289567597153,1995,10136811
246195171328,1994,10115603
116938177352,1979,9848382
101788571282,1978,9839534
83283407090,1977,9830358
71494607105,1976,9818227
66029811341,1975,9800700
56333063690,1974,9772419
47999408507,1973,9741720
37408626615,1972,9711115
29981318394,1971,9673162
258860342555,2002,10332785
260202429149,1999,10226419
237904919845,2000,10251250
237841610738,2001,10286570
409813072387,2006,10547958
471821790309,2007,10625700
370885274397,2004,10421137
260602356079,1998,10203008
518626043650,2008,10709973
484552653514,2009,10796493
