gdp,country,population
209023912696,Brazil,133950551
355372558103,Canada,25702000
11492340886124,World,4731902061
864150000,Suriname,367611
4040693000000,USA,235825000
7757083025,Trinidad & Tobago,1155701
5406634200,Panama,2170390
4593908761,Costa Rica,2659772
532648802822,France,56470769
2041100000,Bahamas,230016
17132968269,Peru,19099575
436443282455,Italy,56576718
79092001998,Argentina,29920907
6169481549,Bolivia,6085499
62057955032,Norway,4140099
16912515183,Ecuador,8823746
2956338610676,Europe,464769808
26042766976,Israel,4159000
99983374277,Korea,40405956
24039383641,Cuba,10017061
3661683400,El Salvador,4855280
55952339079,Venezuela,17057786
,Slovenia,1932154
9470000100,Guatemala,7913814
258082147252,China,1036825000
19232737055,Chile,11921407
83795759983,Belgium,9855372
722367608343,Germany,77858685
10330399700,Dominican Republic,6351572
210900000,Belize,160342
171635463361,Spain,38278575
142075910370,Netherlands,14424211
316266115612,Southern Cone,182353263
58673426983,Denmark,5111619
52926394934,Finland,4881803
4571697721348,North America,337248210
107661673734,Sweden,8336605
4850241442,Uruguay,2992648
,Croatia,4680000
437631610,Guyana,773302
106019113631,Switzerland,6441865
,Haiti,6240330
2373564490,Jamaica,2279900
3319000000,Honduras,4111369
25220451794,Portugal,9996232
134420424819,Andean,81416688
29568826333,Central America,25329877
175632163244,Mexico,75721210
215878233650,India,764664278
676348577225,LAC,380848541
461487097632,United Kingdom,56422072
67821568599,Austria,7561434
38253120737,Colombia,30350082
4067222420,Paraguay,3567750
1294608503864,Japan,120018000
3117599872,Nicaragua,3619252
1346890012,Barbados,255195
