gdp,period,population
22679775350,2005-2008,3336807
23969823010,1997,3271014
12045631092,2003,3325637
5880112788,1986,3031032
7367494080,1987,3049962
4850241442,1984,2992648
4732017873,1985,3011907
9178802162,1982,2954281
5102281255,1983,2973461
10163020115,1980,2915775
11048335541,1981,2935036
20328121001,1999-2002,3321358
8213515458,1988,3069094
8438951476,1989,3088985
20515543039,1996,3248039
57235766827,2014,3419516
47962439302,2011,3385610
40284682481,2010,3374414
57531233351,2013,3407969
51265399742,2012,3396753
3262795354,1971-1974,2821464
17362857683,2005,3325608
53442697567,2015,3431555
5707466545,1984-1987,3021387
11205971155,1991,3132048
9298839655,1990,3109987
15002106518,1993,3178156
12878199880,1992,3154853
19297663096,1995,3224807
17474647792,1994,3201604
7181185277,1979,2896021
4910257282,1978,2875970
4114667062,1977,2857107
3667161241,1976,2841436
3538283322,1975,2830172
4090209681,1974,2824069
3964295672,1973,2822084
2189418001,1972,2821437
2807258064,1971,2818269
13606494599,2002,3327770
23983945190,1999,3309318
22823255801,2000,3321242
20898788416,2001,3327105
19579457966,2006,3331041
23410572633,2007,3339750
13686329890,2004,3324096
25385928198,1998,3292134
30366213118,2008,3350832
31660911278,2009,3362761
