gdp,country,population
1667020106031,Brazil,196701298
1371153004986,Canada,33628571
59285233547850,World,6817810320
3875409836,Suriname,512522
14418739000000,USA,306771529
19175196445,Trinidad & Tobago,1321624
26593500000,Panama,3559401
29382694860,Costa Rica,4488261
2693827452070,France,64707044
7820420000,Bahamas,354780
121192332201,Peru,29001563
2185160158794,Italy,59095365
376627876887,Argentina,40798641
17339992165,Bolivia,9758799
386383919342,Norway,4828726
62519686000,Ecuador,14691310
16958185454629,Europe,498881296
208068814688,Israel,7485600
901934953364,Korea,49182038
62078600000,Cuba,11297442
20661000000,El Salvador,6021368
329418979506,Venezuela,28558607
50244790219,Slovenia,2039669
37733609938,Guatemala,14418033
5059419738267,China,1331260000
171956955710,Chile,16829957
484552653514,Belgium,10796493
3418005001389,Germany,81902307
48193458082,Dominican Republic,9767737
1336957250,Belize,313925
1499074742984,Spain,46362946
857932759099,Netherlands,16530388
2263195752046,Southern Cone,263820504
319762353336,Denmark,5523095
251499027507,Finland,5338871
16684840753423,North America,457215712
429657033107,Sweden,9298515
31660911278,Uruguay,3362761
62703095750,Croatia,4429078
2025565089,Guyana,750749
539528229942,Switzerland,7743831
6584649419,Haiti,9852953
12037473160,Jamaica,2681386
14587496229,Honduras,7383098
243745748819,Portugal,10568247
764292660417,Andean,127426555
137339032908,Central America,41536756
894948748436,Mexico,116815612
1365371474048,India,1214182182
4145766970918,LAC,573223127
2314577036921,United Kingdom,62276270
397594276187,Austria,8343323
233821670544,Colombia,45416276
15929902138,Paraguay,6127847
5035141567658,Japan,128047000
8380731879,Nicaragua,5666595
4602000000,Barbados,278466
