gdp,period,population
12698863705,2005-2008,9362537
7925673448,1997,7870860
8082364868,2003,8810420
3959379487,1986,6337893
4347956298,1987,6464736
6169481549,1984,6085499
5377277406,1985,6211549
5594118400,1982,5835186
5422656261,1983,5959962
4537487842,1980,5589572
5891606676,1981,5711598
8182502883,1999-2002,8417985
4597615562,1988,6592787
4715978868,1989,6723046
7396966657,1996,7717445
32996187988,2014,10561887
23963033443,2011,10078238
19649631308,2010,9918245
30659338929,2013,10399931
27084497539,2012,10238762
1429084638,1971-1974,4749842
9549077869,2005,9125405
33196819571,2015,10724705
4963523685,1984-1987,6274919
5343274311,1991,6992521
4867582620,1990,6856246
5734676560,1993,7273824
5643893347,1992,7131699
6715220507,1995,7566716
5981244886,1994,7418864
4421343606,1979,5469123
3758220889,1978,5350320
3227436281,1977,5233677
2732083958,1976,5119833
2404697651,1975,5009259
2100249875,1974,4902173
1263018490,1973,4798510
1257615644,1972,4698090
1095454545,1971,4600596
7905485216,2002,8653343
8285075872,1999,8182710
8397912509,2000,8339512
8141537937,2001,8496378
11451869164,2006,9283345
13120183156,2007,9441482
8773451738,2004,8967740
8497545598,1998,8026257
16674324634,2008,9599916
17339992165,2009,9758799
