gdp,country,population
268137224729,Brazil,139664639
377437927311,Canada,26204000
14327871343785,World,4900265798
891000000,Suriname,376973
4590155000000,USA,240133000
4794444571,Trinidad & Tobago,1184053
5943877599,Panama,2268619
5477895474,Costa Rica,2800986
774556302680,France,57132691
2472500000,Bahamas,239132
14840000374,Peru,19996250
638273988310,Italy,56596155
110934442762,Argentina,30857242
3959379487,Bolivia,6337893
78693253275,Norway,4167354
15314143988,Ecuador,9272905
4190396037431,Europe,467166308
29701444257,Israel,4299000
119773895286,Korea,41213674
24226283927,Cuba,10167998
3771663200,El Salvador,4986528
58915108093,Venezuela,17968530
,Slovenia,1965964
7231963327,Guatemala,8320498
298805792971,China,1066790000
17722536671,Chile,12304203
120661334386,Belgium,9861823
1042300769791,Germany,77720436
6122128247,Dominican Republic,6626544
227850000,Belize,169570
250638463466,Spain,38535617
198298498021,Netherlands,14572278
406114033351,Southern Cone,189634880
87800282647,Denmark,5120534
73586676049,Finland,4918154
5097033118652,North America,345276441
148376104539,Sweden,8369829
5880112788,Uruguay,3031032
,Croatia,4722000
504651117,Guyana,755598
154095512368,Switzerland,6504124
,Haiti,6527545
2754549685,Jamaica,2335800
3808500050,Honduras,4366401
38749715721,Portugal,10032734
127971115632,Andean,85245358
29119699645,Central America,26539946
129440191340,Mexico,78939441
253352444883,India,799607235
706316162474,LAC,397033567
601452653180,United Kingdom,56681396
98797587381,Austria,7569794
34942483688,Colombia,31669780
3439716399,Paraguay,3777764
2051061226984,Japan,121492000
2885799993,Nicaragua,3796914
1547755116,Barbados,256738
