gdp,country,population
599388879704,Brazil,173153066
676082654640,Canada,30499200
31888797066425,World,6012844176
885444186,Suriname,475637
9660624000000,USA,279040000
6808982520,Trinidad & Tobago,1264781
12130118300,Panama,2970193
15796567138,Costa Rica,3848725
1500275942893,France,60496715
6019972000,Bahamas,293572
49332889437,Peru,25561297
1248563148945,Italy,56916317
283523000000,Argentina,36648054
8285075872,Bolivia,8182710
162286003692,Norway,4461913
19645272636,Ecuador,12398691
9464721958288,Europe,482506355
117212358383,Israel,6125000
486315001429,Korea,46616677
28365300000,Cuba,11080506
12464700000,El Salvador,5775660
97974136436,Venezuela,24023355
22689993408,Slovenia,1983045
18317172141,Guatemala,11408815
1089447108705,China,1252735000
72995286764,Chile,14980484
260202429149,Belgium,10226419
2199957383336,Germany,82100243
21709726722,Dominican Republic,8429116
732732350,Belize,239024
633194118900,Spain,39926268
441975282335,Netherlands,15812088
988283661361,Southern Cone,233287857
177965224620,Denmark,5321799
135225868314,Finland,5165474
10916166336735,North America,410805770
270847937645,Sweden,8857874
23983945190,Uruguay,3309318
23386945596,Croatia,4554000
694754988,Guyana,740189
289884127679,Switzerland,7143991
4153736347,Haiti,8404396
8795765306,Jamaica,2574289
5372543554,Honduras,6114534
127465545493,Portugal,10217828
261423530966,Andean,109985332
68936819007,Central America,35067588
579459682094,Mexico,101266570
466866720520,India,1034976626
1939571904327,LAC,500279929
1565408509949,United Kingdom,58682466
216725261027,Austria,7992324
86186156584,Colombia,39819279
8392549702,Paraguay,5196935
4432599282922,Japan,126631000
4855717874,Nicaragua,4949661
3011982169,Barbados,268920
