gdp,country,population
1774724818900,Brazil,207847528
1550536520141,Canada,35851774
71240478773699,World,7317870690
4877888603,Suriname,542975
17946996000000,USA,321418820
27805745960,Trinidad & Tobago,1360088
52132289700,Panama,3929141
51106697023,Costa Rica,4807850
2421682377730,France,66808385
8884441432,Bahamas,388019
192083721355,Peru,31376670
1814762858045,Italy,60802085
,Argentina,43416755
33196819571,Bolivia,10724705
388314890978,Norway,5195921
100871770000,Ecuador,16144363
16172031170080,Europe,505443957
296075434804,Israel,8380400
1377873107856,Korea,50617045
,Cuba,11389562
25850200000,El Salvador,6126583
,Venezuela,31108083
42746980843,Slovenia,2063768
63794348774,Guatemala,16342897
10866443998394,China,1371220000
240215707927,Chile,17948141
454039037373,Belgium,11285721
3355772429854,Germany,81413145
67103263863,Dominican Republic,10528391
1763000000,Belize,359287
1199057336142,Spain,46418269
752547410446,Netherlands,16936520
2096006003117,Southern Cone,279283102
295164313328,Denmark,5676002
229810358212,Finland,5482013
20641863863314,North America,484287818
492618068568,Sweden,9798871
53442697567,Uruguay,3431555
48732003674,Croatia,4224404
3166029055,Guyana,767085
664737543616,Switzerland,8286976
8877465911,Haiti,10711067
14005654598,Jamaica,2725941
20152043003,Honduras,8075060
198931394033,Portugal,10348648
618232466560,Andean,137582525
225728140689,Central America,45363563
1144331343172,Mexico,127017224
2073542978208,India,1311050527
4202090083873,LAC,614571901
2848755449421,United Kingdom,65138232
374055872241,Austria,8611088
292080155633,Colombia,48228704
27622778722,Paraguay,6639123
4123257609614,Japan,126958472
12692562187,Nicaragua,6082032
4451000000,Barbados,284215
