gdp,period,population
365757209304,2005-2008,8278363
212323463750,1997,7968041
260721478555,2003,8121423
98797587381,1986,7569794
123869321397,1987,7574586
67821568599,1984,7561434
69219621907,1985,7564985
71103585383,1982,7574140
71947277233,1983,7561910
81861232822,1980,7549433
70863106877,1981,7568710
205767820264,1999-2002,8032035
133018182770,1988,7585317
132785154342,1989,7619567
236720496490,1996,7959017
436887543466,2014,8541575
429010675562,2011,8391643
390235099337,2010,8363404
428698577647,2013,8479375
407373026611,2012,8429991
26092707542,1971-1974,7557459
314648986444,2005,8227829
374055872241,2015,8611088
89927024821,1984-1987,7567699
173375508073,1991,7754891
166062376739,1990,7677850
189921096652,1993,7905633
194608183696,1992,7840709
240457622492,1995,7948278
203044926876,1994,7936118
73759181883,1979,7549425
61902774945,1978,7562305
51421585629,1977,7568430
42856485617,1976,7565525
39962704274,1975,7578903
35104529078,1974,7599038
29444365310,1973,7586115
22006470861,1972,7544201
17815464919,1971,7500482
212970685111,2002,8081957
216725261027,1999,7992324
196421706283,2000,8011566
196953628635,2001,8042293
334309371471,2006,8268641
386458951546,2007,8295487
299857238639,2004,8171966
217683626056,1998,7976789
427611527757,2008,8321496
397594276187,2009,8343323
