gdp,country,population
176171284311,Brazil,113776467
211612156934,Canada,23796000
6813943004368,World,4187297907
641000000,Suriname,361053
2085951000000,USA,220239000
3138666541,Trinidad & Tobago,1039757
2199585300,Panama,1837887
3072427122,Costa Rica,2207727
411464295266,France,54764462
713000000,Bahamas,197118
14230997983,Peru,16061327
256746611586,Italy,55955411
56781000100,Argentina,26878567
3227436281,Bolivia,5233677
41508030431,Norway,4043205
11026346589,Ecuador,7374235
2172223125413,Europe,454214586
13776267565,Israel,3613000
40255785123,Korea,36411795
14206158657,Cuba,9634677
2941640100,El Salvador,4328817
42337056974,Venezuela,14127790
,Slovenia,1842377
5480500200,Guatemala,6579710
172349014326,China,943455000
13359145454,Chile,10746328
83283407090,Belgium,9830358
598226205424,Germany,78159814
4587100200,Dominican Republic,5411867
117650000,Belize,136991
132089531434,Spain,36370050
125395875998,Netherlands,13856185
252338450270,Southern Cone,157193844
49666416194,Denmark,5088419
33524682307,Finland,4738902
2379388937498,North America,308372694
93136775102,Sweden,8251540
4114667062,Uruguay,2857107
,Croatia,4532000
449880000,Guyana,762445
,Switzerland,6281174
,Haiti,5341418
3249733202,Jamaica,2059399
1669499950,Honduras,3306988
21441635411,Portugal,9455675
90292816097,Andean,68702153
17590652545,Central America,21234934
81825780563,Mexico,64337694
123617837582,India,650907559
453023199421,LAC,325321066
263066457352,United Kingdom,56193492
51421585629,Austria,7568430
19470978268,Colombia,25905124
1912353339,Paraguay,2935375
709404712455,Japan,113863000
2226999873,Nicaragua,2973805
,Barbados,248785
