gdp,period,population
1061531927181,2005-2008,1170792584
423160799040,1997,997817250
618356467437,2003,1108369577
253352444883,1986,799607235
283926977522,1987,817232241
215878233650,1984,764664278
236589100981,1985,782085127
204234366470,1982,730303461
222090283347,1983,747374856
189594121351,1980,697229745
196883474523,1981,713561406
490349602882,1999-2002,1062633811
301790951204,1988,834944397
301233728792,1989,852736160
399787263892,1996,979290432
2042438591343,2014,1295291543
1815865716201,2011,1247446011
1708458876829,2010,1230984504
1863208343557,2013,1279498874
1824960308640,2012,1263589639
82383825552,1971-1974,586826110
834214699568,2005,1144326293
2073542978208,2015,1311050527
247436689259,1984-1987,790897220
274842161318,1991,888513869
326608014285,1990,870601776
284194018792,1993,924475633
293262722482,1992,906461358
366600193391,1995,960874982
333014993709,1994,942604211
155674337010,1979,681358553
139708688961,1978,665936435
123617837582,1977,650907559
104518118776,1976,636182810
100199514365,1975,621703641
101271489826,1974,607446519
87014945186,1973,593451889
72716595884,1972,579800632
68532271313,1971,566605402
523968381476,2002,1090189358
466866720520,1999,1034976626
476609148165,2000,1053481072
493954161367,2001,1071888190
949116769619,2006,1162088305
1238699170079,2007,1179685631
721584805204,2004,1126419321
428740690379,1998,1016402907
1224097069459,2008,1197070109
1365371474048,2009,1214182182
