gdp,country,population
1397084381901,Brazil,192784521
1464977190205,Canada,32887928
57062436706444,World,6652850654
2936612021,Suriname,500953
14477635000000,USA,301231207
21642304045,Trinidad & Tobago,1309260
20958000000,Panama,3438398
26322000105,Costa Rica,4369465
2663112510265,France,64016229
8318995999,Bahamas,342259
102170980824,Peru,28292768
2203053327128,Italy,58438310
329317513142,Argentina,39969903
13120183156,Bolivia,9441482
400883873279,Norway,4709153
51007777000,Ecuador,14205479
17625456990956,Europe,495479977
179564275455,Israel,7180100
1122679154632,Korea,48597652
58603500000,Cuba,11284043
20104900000,El Salvador,5986414
230364229156,Venezuela,27670659
48114700246,Slovenia,2018122
34113107084,Guatemala,13797629
3523094314820,China,1317885000
173081277147,Chile,16462701
471821790309,Belgium,10625700
3439953462907,Germany,82266372
44073886687,Dominican Republic,9504336
1290542550,Belize,298403
1479341637010,Spain,45226803
839419655078,Netherlands,16381696
1936688655458,Southern Cone,258523035
319500339842,Denmark,5461438
255384615384,Finland,5288720
16986083511374,North America,447258509
487816328342,Sweden,9148092
23410572633,Uruguay,3339750
60093155532,Croatia,4436000
1740334781,Guyana,745638
477407802315,Switzerland,7551117
5885325589,Haiti,9556958
12824094989,Jamaica,2662481
12275501784,Honduras,7133737
240169336162,Portugal,10542964
604079664780,Andean,123985035
121231612336,Central America,40247762
1043471321169,Mexico,113139374
1238699170079,India,1179685631
3789896865057,LAC,558928241
2969733893557,United Kingdom,61322463
386458951546,Austria,8295487
207416494642,Colombia,44374647
13794910633,Paraguay,5966160
4356347794333,Japan,128001000
7458103361,Nicaragua,5522119
4546000000,Barbados,276154
