gdp,country,population
1273044798797,Brazil,191682924
1374720394131,Canada,32754051
54218147304629,World,6612773271
2722434545,Suriname,498890
14036457750000,USA,299805421
20965978622,Trinidad & Tobago,1306176
19999853624,Panama,3408744
24662821248,Costa Rica,4338901
2528817181623,France,63797987
8059363999,Bahamas,338972
96638319740,Peru,28123795
2097269578873,Italy,58344626
304144952328,Argentina,39764001
12698863705,Bolivia,9362537
379244356523,Norway,4690333
50269885250,Ecuador,14088950
16529345561570,Europe,494560687
173418386155,Israel,7118175
1008708214863,Korea,48514093
53699025000,Cuba,11277633
19295100000,El Salvador,5976343
218738861117,Venezuela,27444429
44909816578,Slovenia,2011695
32673042554,Guatemala,13644465
3269977081070,China,1314320000
157945778509,Chile,16371235
446906726399,Belgium,10590562
3264043927623,Germany,82305585
40545962894,Dominican Republic,9437431
1247703137,Belize,294649
1384039652138,Spain,44807845
795207683511,Netherlands,16373314
1770735268266,Southern Cone,257077863
304903126073,Denmark,5452940
240028906667,Finland,5278620
16405271712855,North America,444870212
452714099755,Sweden,9119451
22679775350,Uruguay,3336807
56611065481,Croatia,4438127
1486565081,Guyana,744983
466421503073,Switzerland,7529960
5375376001,Haiti,9483744
12403147005,Jamaica,2657764
11644748743,Honduras,7070104
227012097167,Portugal,10531689
568484766044,Andean,123119133
115539846757,Central America,39925105
994093568723,Mexico,112310739
1061531927181,India,1170792584
3528143914318,LAC,555317958
2692532456720,United Kingdom,61094371
365757209304,Austria,8278363
190138836229,Colombia,44099421
12919963278,Paraguay,5922895
4533537522503,Japan,127922750
7264280584,Nicaragua,5486546
4335500000,Barbados,275630
