gdp,period,population
19295100000,2005-2008,5976343
11134700000,1997,5692300
15046700000,2003,5900929
3771663200,1986,4986528
3958045800,1987,5051885
3661683400,1984,4855280
3800368599,1985,4920932
3399189100,1982,4722272
3506347800,1983,4789472
3573959899,1980,4577683
3437200200,1981,4652058
13429550000,1999-2002,5826633
4189880000,1988,5117577
4372215300,1989,5184221
10315500000,1996,5643363
25054200000,2014,6107706
23139000000,2011,6055208
21418300000,2010,6038306
24350900000,2013,6089644
23813600000,2012,6072233
1389509999,1971-1974,3909989
17093800000,2005,5947206
25850200000,2015,6126583
3797940249,1984-1987,4953656
5311000000,1991,5321576
4800900000,1990,5252082
6938000000,1993,5461834
5954700000,1992,5392142
9500500000,1995,5588743
8085600000,1994,5528012
3463639900,1979,4498757
3127960000,1978,4415625
2941640100,1977,4328817
2328280100,1976,4239205
1884120100,1975,4147525
1665880000,1974,4053958
1442320000,1973,3958616
1263719999,1972,3862132
1186119999,1971,3765252
14306700000,2002,5874301
12464700000,1999,5775660
13134100000,2000,5811836
13812700000,2001,5844738
18550700000,2006,5967556
20104900000,2007,5986414
15798300000,2004,5925089
12008400000,1998,5736075
21431000000,2008,6004199
20661000000,2009,6021368
