gdp,period,population
7264280584,2005-2008,5486546
4389965590,1997,4786641
5322454925,2003,5240876
2885799993,1986,3796914
3851200117,1987,3882940
3117599872,1984,3619252
2683699935,1985,3709091
2454499872,1982,3435527
2753100057,1983,3527935
2144300006,1980,3249910
2474700227,1981,3342666
5127601615,1999-2002,5062234
2630900095,1988,3968453
1013184755,1989,4055262
4308351902,1996,4700777
11790221756,2014,6013913
9755619760,2011,5807787
8741313140,2010,5737722
10874735110,2013,5945646
10438842115,2012,5877034
1080360005,1971-1974,2590946
6321335612,2005,5379327
12692562187,2015,6082032
3134574979,1984-1987,3752049
1488804123,1991,4236805
1009455476,1990,4144564
1756454248,1993,4426577
1792800000,1992,4331273
4140470000,1995,4612229
3863185119,1994,4520727
1567599981,1979,3157356
2127699978,1978,3065118
2226999873,1977,2973805
1836899998,1976,2884156
1581599958,1975,2796748
1521400011,1974,2711847
1092900014,1973,2629503
878570045,1972,2549779
828569953,1971,2472656
5224213017,2002,5171736
4855717874,1999,4949661
5107329007,2000,5026792
5323146565,2001,5100750
6786294637,2006,5450217
7458103361,2007,5522119
5795568204,2004,5309703
4635267224,1998,4869627
8491388728,2008,5594524
8380731879,2009,5666595
