gdp,period,population
53699025000,2005-2008,11277633
25366200000,1997,11000431
35901500000,2003,11214837
24226283927,1986,10167998
25213614325,1987,10269276
24039383641,1984,10017061
22921491786,1985,10082990
20953510265,1982,9925618
22205716020,1983,9966733
19912889808,1980,9835177
20150254124,1981,9884219
31051050000,1999-2002,11133326
27458999535,1988,10379080
27025200369,1989,10486110
25017300000,1996,10955372
,2014,11379111
68990140000,2011,11323570
64328200000,2010,11308133
77149700000,2013,11362505
73139050000,2012,11342631
9110869081,1971-1974,9096670
42644200000,2005,11261052
,2015,11389562
24100193419,1984-1987,10134331
24317883624,1991,10664577
28645436550,1990,10582082
22367254851,1993,10797556
22085858204,1992,10735775
30428638304,1995,10906048
28448326795,1994,10853435
19584443219,1979,9777287
17844705319,1978,9711393
14206158657,1977,9634677
13789579892,1976,9544268
13027415252,1975,9438445
11405957363,1974,9315371
9987709686,1973,9176051
8135150888,1972,9025299
6914658389,1971,8869961
33590400000,2002,11184540
28365300000,1999,11080506
30565200000,2000,11116787
31683300000,2001,11151472
52742100000,2006,11275199
58603500000,2007,11284043
38202800000,2004,11240680
25736600000,1998,11041893
60806300000,2008,11290239
62078600000,2009,11297442
