gdp,period,population
218738861117,2005-2008,27444429
85837385778,1997,23108003
83622191418,2003,25857553
58915108093,1986,17968530
45343793675,1987,18437737
55952339079,1984,17057786
57935742246,1985,17508059
76693647866,1982,16185895
78586503425,1983,16617343
67135122863,1980,15343917
75498829319,1981,15761800
107730268144,1999-2002,24711049
58428404473,1988,18912431
42142303738,1989,19388262
68258588862,1996,22649212
,2014,30693827
316482190800,2011,29427631
393801459277,2010,28995745
371336634589,2013,30276045
381286237847,2012,29854238
19731864477,1971-1974,12463808
145513489651,2005,26769115
,2015,31108083
54536745773,1984-1987,17743028
51734363023,1991,20332247
47027508385,1990,19861959
58107555298,1993,21263994
58470358475,1992,20799471
74888742183,1995,22188671
56529904239,1994,21726808
55750554788,1979,14931741
46507640231,1978,14525929
42337056974,1977,14127790
36272315695,1976,13739142
31413164178,1975,13360988
29087099933,1974,12994025
19445932860,1973,12636971
15922867181,1972,12286434
14471557937,1971,11937803
92889586976,2002,25399143
97974136436,1999,24023355
117147614565,2000,24481477
122909734601,2001,24940223
183477522123,2006,27221228
230364229156,2007,27670659
112451400422,2004,26314483
91338542541,1998,23565734
315600203539,2008,28116716
329418979506,2009,28558607
