gdp,country,population
580536319295,Brazil,177101123
728176639857,Canada,30928200
32885709377078,World,6132861761
904869064,Suriname,481717
10386185250000,USA,283449139
8199116932,Trinidad & Tobago,1270746
12482571800,Panama,3057639
16247747940,Costa Rica,3958545
1437817625425,France,61142977
6455542749,Bahamas,300942
51585687597,Peru,26084749
1204787919990,Italy,56972883
233537003364,Argentina,37266621
8182502883,Bolivia,8417985
175755809566,Norway,4501197
22747576629,Ecuador,12738024
9216567364298,Europe,484140971
125363335684,Israel,6355750
547505023053,Korea,47151082
31051050000,Cuba,11133326
13429550000,El Salvador,5826633
107730268144,Venezuela,24711049
21867790493,Slovenia,1989640
19271736238,Guatemala,11836602
1272212248710,China,1266907500
73911366944,Chile,15263460
248702325571,Belgium,10274256
2044924042063,Germany,82287542
24292520536,Dominican Republic,8630288
842304312,Belize,250881
639929610749,Spain,40594260
436681262643,Netherlands,15983177
915956883048,Southern Cone,238306284
171387650431,Denmark,5349032
132392214136,Finland,5182572
11796704573175,North America,417850594
258623372890,Sweden,8887725
20328121001,Uruguay,3321358
23832347434,Croatia,4465000
706541310,Guyana,742169
285325109438,Switzerland,7210712
3794054405,Haiti,8620225
9126805309,Jamaica,2596121
6955255202,Honduras,6306979
125399653492,Portugal,10322519
285798453125,Andean,112647968
73514462797,Central America,36048635
682342683316,Mexico,103473255
490349602882,India,1062633811
2003024979476,LAC,511593524
1584101991776,United Kingdom,59016283
205767820264,Austria,8032035
95552417870,Colombia,40696160
7644072441,Paraguay,5353719
4326119374361,Japan,127017000
5127601615,Nicaragua,5062234
3104870542,Barbados,270230
