gdp,country,population
79279057730,Brazil,103320787
131321859214,Canada,22369408
4301549438906,World,3892240832
305299999,Suriname,368342
1428549000000,USA,211909000
1308786063,Trinidad & Tobago,982594
1525966200,Panama,1653257
1528916175,Costa Rica,1995744
265381555686,France,53441264
670899999,Bahamas,181489
10702842298,Peru,14447649
174913182995,Italy,54751406
52544000116,Argentina,25213388
1263018490,Bolivia,4798510
22534253702,Norway,3960612
3891755551,Ecuador,6611916
1413010854427,Europe,445310759
9242160982,Israel,3278000
14538310905,Korea,34103149
9987709686,Cuba,9176051
1442320000,El Salvador,3958616
19445932860,Venezuela,12636971
,Slovenia,1766697
2569200100,Guatemala,5901980
136769878359,China,881940000
16387455086,Chile,10087377
47999408507,Belgium,9741720
396866742553,Germany,78936666
2344699900,Dominican Republic,4889437
78343558,Belize,129294
78425934894,Spain,34817071
70924006306,Netherlands,13439322
153064165666,Southern Cone,144102720
30459579436,Denmark,5021861
19486826979,Finland,4666081
1615142162390,North America,291561769
58567384058,Sweden,8136312
3964295672,Uruguay,2822084
,Croatia,4478000
307047632,Guyana,720919
,Switzerland,6307347
,Haiti,4960655
1905861121,Jamaica,1956080
912499950,Honduras,2928190
15092052330,Portugal,8633100
45619323789,Andean,62169551
9071802440,Central America,19067290
55271303176,Mexico,57283361
87014945186,India,593451889
268585942158,LAC,295411688
192537971582,United Kingdom,56194527
29444365310,Austria,7586115
10315774588,Colombia,23674505
889357059,Paraguay,2659084
424891148590,Japan,108079000
1092900014,Nicaragua,2629503
,Barbados,242980
