gdp,country,population
281682304161,Brazil,128054757
313506525087,Canada,25202000
10824512303060,World,4569705112
915150000,Suriname,363993
3344991000000,USA,231664000
8140416343,Trinidad & Tobago,1120610
5044942500,Panama,2073826
2606621245,Costa Rica,2521163
586837009681,France,55858727
1578300000,Bahamas,220275
21216509116,Peru,18225727
425863253400,Italy,56543548
84307486836,Argentina,28993989
5594118400,Bolivia,5835186
62647195537,Norway,4114787
19929853574,Ecuador,8392935
3177174963938,Europe,462711238
24572712708,Israel,4031000
81639218690,Korea,39326352
20953510265,Cuba,9925618
3399189100,El Salvador,4722272
76693647866,Venezuela,16185895
,Slovenia,1910334
8716999700,Guatemala,7508161
203549627211,China,1008630000
24339421604,Chile,11569135
92588982518,Belgium,9856303
773638200773,Germany,78333366
7964000300,Dominican Republic,6078816
179250000,Belize,151498
195464408602,Spain,37942805
156456858050,Netherlands,14312690
404575464767,Southern Cone,174938888
59916301293,Denmark,5117810
52832120389,Finland,4826933
3832218372777,North America,329413995
112767844570,Sweden,8325263
9178802162,Uruguay,2954281
,Croatia,4635000
482000000,Guyana,785466
111431738019,Switzerland,6391309
,Haiti,5955265
3293496325,Jamaica,2200100
2903500050,Honduras,3868296
30530759334,Portugal,9911771
162402148410,Andean,77666901
25125752467,Central America,24129245
173720847690,Mexico,72547995
204234366470,India,730303461
785222126305,LAC,364637820
515048916841,United Kingdom,56313641
71103585383,Austria,7574140
38968019453,Colombia,29027158
5067450002,Paraguay,3366726
1116840773461,Japan,118449000
2454499872,Nicaragua,3435527
1163923780,Barbados,253836
