gdp,country,population
123709376567,Brazil,108431284
173834029787,Canada,23209000
5537358812800,World,4042748383
465000000,Suriname,362651
1688923000000,USA,215973000
2442667524,Trinidad & Tobago,1011487
1953304500,Panama,1745207
1960863535,Costa Rica,2097410
362000917852,France,54252574
596200000,Bahamas,188882
16413418808,Peru,15229951
226944778173,Italy,55441001
52438647921,Argentina,26066975
2404697651,Bolivia,5009259
32877805200,Norway,4007313
7731677256,Ecuador,6987393
1851972723697,Europe,450124308
12336986759,Israel,3455000
22797520661,Korea,35280725
13027415252,Cuba,9438445
1884120100,El Salvador,4147525
31413164178,Venezuela,13360988
,Slovenia,1793581
3645900000,Guatemala,6237963
161162492226,China,916395000
7226476863,Chile,10420590
66029811341,Belgium,9800700
488780155338,Germany,78673554
3599300099,Dominican Republic,5149934
118066302,Belize,133261
114465300289,Spain,35530725
98970041042,Netherlands,13666335
188264674078,Southern Cone,150539985
40251071473,Denmark,5059862
29494515597,Finland,4711440
1950761012476,North America,300054399
81716751697,Sweden,8192437
3538283322,Uruguay,2830172
,Croatia,4514000
494791647,Guyana,740167
,Switzerland,6338632
,Haiti,5140357
2860442805,Jamaica,2013000
1124000000,Honduras,3107735
19349512941,Portugal,9093470
71061591797,Andean,65344560
12149788094,Central America,20132588
88003982688,Mexico,60872399
100199514365,India,621703641
368382447088,LAC,310204310
241756637168,United Kingdom,56225800
39962704274,Austria,7578903
13098633901,Colombia,24756969
1351889403,Paraguay,2790964
512861437158,Japan,111940000
1581599958,Nicaragua,2796748
,Barbados,246033
