gdp,country,population
669316239316,Brazil,186116363
1023196003074,Canada,31995000
43118314023799,World,6411040532
1484092538,Suriname,489312
12274928000000,USA,292805298
13280275123,Trinidad & Tobago,1290535
15013275299,Panama,3260611
18596365926,Costa Rica,4187039
2124112242364,France,62704897
7094413000,Bahamas,322539
66695121799,Peru,27273188
1798314755525,Italy,57685327
181873056796,Argentina,38728778
8773451738,Bolivia,8967740
264357494659,Norway,4591910
36591661000,Ecuador,13509645
13660116315299,Europe,489793263
135418563141,Israel,6809000
764880644710,Korea,48039415
38202800000,Cuba,11240680
15798300000,El Salvador,5925089
112451400422,Venezuela,26314483
34470229197,Slovenia,1997012
23965275999,Guatemala,12877711
1941745602165,China,1296075000
100630707851,Chile,15913119
370885274397,Belgium,10421137
2819245095604,Germany,82516260
22039210346,Dominican Republic,9102997
1057849999,Belize,276085
1069555500372,Spain,42921895
650532654581,Netherlands,16281779
973540211215,Southern Cone,249786098
251242843551,Denmark,5404523
196768065557,Finland,5228172
14068391589021,North America,433058120
381705425301,Sweden,8993531
13686329890,Uruguay,3324096
41574530815,Croatia,4439000
785918769,Guyana,742162
393541693928,Switzerland,7389625
3537720277,Haiti,9119182
10150978154,Jamaica,2634145
8772194250,Honduras,6753352
189187437298,Portugal,10483861
341586500476,Andean,118789213
87940979681,Central America,38313505
770267585947,Mexico,108257822
721584805204,India,1126419321
2222343461222,LAC,537293497
2297889051629,United Kingdom,59987905
299857238639,Austria,8171966
117074865515,Colombia,42724157
8033877360,Paraguay,5703742
4655803055650,Japan,127761000
5795568204,Nicaragua,5309703
3514500000,Barbados,273091
