gdp,period,population
466421503073,2005-2008,7529960
286604024805,1997,7088906
351982634291,2003,7339001
154095512368,1986,6504124
192981619165,1987,6545106
106019113631,1984,6441865
107496240242,1985,6470365
111431738019,1982,6391309
111035571006,1983,6418773
118710309542,1980,6319408
108721034568,1981,6354074
285325109438,1999-2002,7210712
208774024533,1988,6593386
201572650956,1989,6646912
329619351051,1996,7071850
701037135966,2014,8188649
696311671959,2011,7912398
581211708792,2010,7824909
684919206141,2013,8089346
665408300271,2012,7996861
,1971-1974,6280776
407535656039,2005,7437115
664737543616,2015,8286976
140148121351,1984-1987,6490365
260459896582,1991,6799978
257420293190,1990,6715519
263691005481,1993,6938265
271133679206,1992,6875364
341759012938,1995,7040687
291913801052,1994,6993795
,1979,6294365
,1978,6281738
,1977,6281174
,1976,6302504
,1975,6338632
,1974,6341405
,1973,6307347
,1972,6260956
,1971,6213399
301127808995,2002,7284753
289884127679,1999,7143991
271659728209,2000,7184250
278628772872,2001,7229854
429195591242,2006,7483934
477407802315,2007,7551117
393541693928,2004,7389625
294977518761,1998,7110001
551546962699,2008,7647675
539528229942,2009,7743831
