gdp,period,population
1273044798797,2005-2008,191682924
883199443413,1997,167893835
558320116997,2003,183627339
268137224729,1986,139664639
294084112392,1987,142437479
209023912696,1984,133950551
222942790435,1985,136836428
281682304161,1982,128054757
203304515490,1983,131014337
235024598983,1980,122199721
263561088977,1981,125107382
580536319295,1999-2002,177101123
330397381998,1988,145150468
425595310000,1989,147801816
850425828275,1996,165303155
2417046323841,2014,206077898
2614573170731,2011,200517584
2208872214643,2010,198614208
2465773850934,2013,204259377
2460658440428,2012,202401584
73039632686,1971-1974,102103413
891629970423,2005,188479240
1774724818900,2015,207847528
248547010063,1984-1987,138222274
602860000000,1991,152916852
461951782000,1990,150393143
437798577639,1993,157812220
400599250000,1992,155379009
785643456467,1995,162755054
558111997497,1994,160260508
224969488835,1979,119341444
200800891870,1978,116532153
176171284311,1977,113776467
152678020452,1976,111076063
123709376567,1975,108431284
105136007528,1974,105846274
79279057730,1973,103320787
58539008786,1972,100844391
49204456700,1971,98402200
507962741819,2002,181045592
599388879704,1999,173153066
655421153320,2000,175786441
559372502338,2001,178419396
1107640325472,2006,190698241
1397084381901,2007,192784521
669316239316,2004,186116363
863723395088,1998,170516482
1695824517395,2008,194769696
1667020106031,2009,196701298
