gdp,country,population
248547010063,Brazil,138222274
382220931736,Canada,26099500
13579980877405,World,4858738607
902062500,Suriname,374992
4461949750000,USA,239042750
6181305930,Trinidad & Tobago,1176483
5760040624,Panama,2244182
5177391414,Costa Rica,2765800
700192663213,France,56970434
2387074950,Bahamas,236805
17059075722,Peru,19773121
582124627537,Italy,56591968
97387326254,Argentina,30623350
4963523685,Bolivia,6274919
75099535969,Norway,4161718
15830296410,Ecuador,9161690
3856533835629,Europe,466578069
28835804114,Israel,4265000
118618522676,Korea,41011766
24100193419,Cuba,10134331
3797940249,El Salvador,4953656
54536745773,Venezuela,17743028
,Slovenia,1957383
8377003888,Guatemala,8218899
283929324884,China,1059672500
18585845626,Chile,12210418
110345358690,Belgium,9861434
946924003601,Germany,77775978
6831039687,Dominican Republic,6557899
231112500,Belize,167288
230114631523,Spain,38465957
181075780454,Netherlands,14538289
373790520796,Southern Cone,187803124
79461090897,Denmark,5118217
68517350308,Finland,4908571
5001622963187,North America,343280840
137245378332,Sweden,8363656
5707466545,Uruguay,3021387
,Croatia,4710750
437590729,Guyana,759773
140148121351,Switzerland,6490365
,Haiti,6455659
2628840106,Jamaica,2319350
3729874987,Honduras,4303270
34819077885,Portugal,10020652
128505475601,Andean,84291727
29976826145,Central America,26237857
157452281451,Mexico,78138590
247436689259,India,790897220
705366289722,LAC,392980690
574346880838,United Kingdom,56613946
89927024821,Austria,7567699
36115834008,Colombia,31338968
3562872305,Paraguay,3725693
1803859544773,Japan,121088750
3134574979,Nicaragua,3752049
1502137855,Barbados,256367
