gdp,period,population
20965978622,2005-2008,1306176
5737751331,1997,1260677
11305459802,2003,1284052
4794444571,1986,1184053
4797777904,1987,1195243
7757083025,1984,1155701
7375918223,1985,1170935
8140416343,1982,1120610
7763749691,1983,1138673
6235833085,1980,1085308
6992083055,1981,1102562
8199116932,1999-2002,1270746
4496910569,1988,1204890
4323058823,1989,1213625
5759537726,1996,1258365
28874122633,2014,1354483
24409826346,2011,1334790
21037612736,2010,1328095
27257411604,2013,1348240
24580844842,2012,1341579
1332735948,1971-1974,976188
15982282467,2005,1296933
27805745960,2015,1360088
6181305930,1984-1987,1176483
5203223529,1991,1229906
5068000000,1990,1221904
4581357104,1993,1244410
5318258823,1992,1237486
5329214163,1995,1255001
4947205860,1994,1250316
4602416442,1979,1069199
3562333316,1978,1054109
3138666541,1977,1039757
2500420785,1976,1025655
2442667524,1975,1011487
2042002018,1974,997052
1308786063,1973,982594
1083392306,1972,968742
896763407,1971,956364
9008273720,2002,1277840
6808982520,1999,1264781
8154338232,2000,1267980
8824873259,2001,1272383
18369070082,2006,1303141
21642304045,2007,1309260
13280275123,2004,1290535
6043694330,1998,1262544
27870257894,2008,1315372
19175196445,2009,1321624
