gdp,country,population
850425828275,Brazil,165303155
628546387972,Canada,29671900
30938060945534,World,5767098991
860630922,Suriname,453653
8100201000000,USA,269394000
5759537726,Trinidad & Tobago,1258365
9870392300,Panama,2794845
11843228539,Costa Rica,3596733
1614245416078,France,59753098
3609000000,Bahamas,283792
53975714093,Peru,24441076
1308929305684,Italy,56860281
272149750000,Argentina,35419683
7396966657,Bolivia,7717445
163517783497,Norway,4381336
25226393196,Ecuador,11683480
9711770839303,Europe,480087653
109774101575,Israel,5692000
603413139412,Korea,45524681
25017300000,Cuba,10955372
10315500000,El Salvador,5643363
68258588862,Venezuela,22649212
21480028328,Slovenia,1988628
15781579950,Guatemala,10612300
860844098049,China,1217550000
75769008174,Chile,14396020
281357654723,Belgium,10156637
2503665193657,Germany,81914831
18131813000,Dominican Republic,8029114
641383799,Belize,213674
640998292394,Spain,39478186
445704575163,Netherlands,15530498
1228648521222,Southern Cone,223237592
187632400365,Denmark,5263074
132099404607,Finland,5124573
9126151526156,North America,395247610
288103936773,Sweden,8840998
20515543039,Uruguay,3248039
23678012697,Croatia,4494000
705406001,Guyana,730193
329619351051,Switzerland,7071850
2907452192,Haiti,7965548
6504445801,Jamaica,2509923
4034037162,Honduras,5724587
122629812841,Portugal,10063945
252017774383,Andean,104540253
56153089855,Central America,33072605
397404138184,Mexico,96181710
399787263892,India,979290432
1967526772366,LAC,476795110
1306575663026,United Kingdom,58166950
236720496490,Austria,7959017
97160111573,Colombia,38049040
9788391732,Paraguay,4870695
4706187126019,Japan,125757000
4308351902,Nicaragua,4700777
2411872813,Barbados,265940
