gdp,country,population
559372502338,Brazil,178419396
736379777892,Canada,31081900
32741031266516,World,6173189720
763465550,Suriname,484210
10621824000000,USA,284968955
8824873259,Trinidad & Tobago,1272383
12501974600,Panama,3086887
16403602943,Costa Rica,3996800
1382218344519,France,61357431
6516650999,Bahamas,303138
51592365725,Peru,26261363
1162317840447,Italy,56974100
268696750000,Argentina,37471535
8141537937,Bolivia,8496378
174003247439,Norway,4513751
24468324000,Ecuador,12852753
8899372113665,Europe,484633595
130751599020,Israel,6439000
533051998853,Korea,47357362
31683300000,Cuba,11151472
13812700000,El Salvador,5844738
122909734601,Venezuela,24940223
20875389930,Slovenia,1992060
18702802398,Guatemala,11976725
1332234719889,China,1271850000
72336972322,Chile,15358418
237841610738,Belgium,10286570
1950648769574,Germany,82349925
24892595798,Dominican Republic,8697127
871860600,Belize,254989
625975838926,Spain,40756001
426573601789,Netherlands,16046180
928967608153,Southern Cone,239983079
164791416350,Denmark,5358783
129250111856,Finland,5188008
12082907349199,North America,420290418
239917320966,Sweden,8895960
20898788416,Uruguay,3327105
23289671102,Croatia,4440000
696281471,Guyana,743163
278628772872,Switzerland,7229854
3596443004,Haiti,8692564
9087918836,Jamaica,2605556
7566498402,Honduras,6371304
121545880984,Portugal,10362722
305315507229,Andean,113539626
74310724910,Central America,36377204
724703571306,Mexico,104239563
493954161367,India,1071888190
2079699242499,LAC,515407102
1535942133294,United Kingdom,59119673
196953628635,Austria,8042293
98203544965,Colombia,40988909
7662595075,Paraguay,5406625
4159859918093,Japan,127149000
5323146565,Nicaragua,5100750
3116500000,Barbados,270686
