gdp,country,population
558320116997,Brazil,183627339
892380986367,Canada,31676000
38229489922346,World,6331353378
1271196078,Suriname,487641
11510670000000,USA,290107933
11305459802,Trinidad & Tobago,1284052
13693884200,Panama,3202511
17517536016,Costa Rica,4125970
1848124153498,France,62244884
6949317000,Bahamas,315757
59030590739,Peru,26937737
1569649631715,Italy,57313203
127586251760,Argentina,38309475
8082364868,Bolivia,8810420
228752436371,Norway,4564855
32432859000,Ecuador,13289600
11825002544338,Europe,487812932
126749741990,Israel,6689700
680520807982,Korea,47859311
35901500000,Cuba,11214837
15046700000,El Salvador,5900929
83622191418,Venezuela,25857553
29697443017,Slovenia,1995733
21917430474,Guatemala,12573346
1649928718134,China,1288400000
77840186384,Chile,15729268
319003386004,Belgium,10376133
2505733634311,Germany,82534176
21277171990,Dominican Republic,8967759
990350000,Belize,269132
906853273137,Spain,42187645
571863431151,Netherlands,16225302
782380290071,Southern Cone,246599667
218095997085,Denmark,5390574
171071106094,Finland,5213014
13116335247247,North America,428672351
331108912605,Sweden,8958229
12045631092,Uruguay,3325637
34658113497,Croatia,4440000
741929342,Guyana,742537
351982634291,Switzerland,7339001
2960306120,Haiti,8976555
9399452787,Jamaica,2624695
8140271080,Honduras,6626304
164964195259,Portugal,10458821
277852588599,Andean,117047457
81638276696,Central America,37669936
713284260879,Mexico,106888418
618356467437,India,1108369577
1900097806949,LAC,530058539
1943025306122,United Kingdom,59647577
260721478555,Austria,8121423
94684582573,Colombia,42152147
6588103836,Paraguay,5607948
4302939184963,Japan,127718000
5322454925,Nicaragua,5240876
3275000000,Barbados,272261
