gdp,country,population
222942790435,Brazil,136836428
364756499450,Canada,25942000
12108548055823,World,4814690098
873250000,Suriname,371469
4346734000000,USA,237924000
7375918223,Trinidad & Tobago,1170935
5719726200,Panama,2219276
4796628461,Costa Rica,2730231
555197109067,France,56795686
2320699900,Bahamas,234684
16110000406,Peru,19544950
450725817665,Italy,56593071
88416668900,Argentina,30388781
5377277406,Bolivia,6211549
65416879914,Norway,4152516
17149094589,Ecuador,9045977
3056012097382,Europe,465886065
24122660965,Israel,4233000
103729914254,Korea,40805744
22921491786,Cuba,10082990
3800368599,El Salvador,4920932
57935742246,Venezuela,17508059
,Slovenia,1941641
9721652288,Guatemala,8117499
307479585852,China,1051040000
16486012247,Chile,12108576
86730120728,Belgium,9858308
729763282952,Germany,77684873
5044579947,Dominican Republic,6488857
209150000,Belize,164916
180302412230,Spain,38418817
142009922306,Netherlands,14491632
335543723480,Southern Cone,186017518
62220601827,Denmark,5113691
55914236377,Finland,4902206
4895963596746,North America,341188643
112514448261,Sweden,8350386
4732017873,Uruguay,3011907
,Croatia,4701000
453488351,Guyana,765043
107496240242,Switzerland,6470365
,Haiti,6384196
2100239023,Jamaica,2311100
3639499949,Honduras,4237436
27118476173,Portugal,10023613
131466534175,Andean,83322221
30361575435,Central America,25934465
184473097296,Mexico,77322643
236589100981,India,782085127
696365667581,LAC,388951935
489285164271,United Kingdom,56550268
69219621907,Austria,7564985
34894419525,Colombia,31011686
2966234024,Paraguay,3671826
1384532251034,Japan,120754000
2683699935,Nicaragua,3709091
1409536059,Barbados,255929
