gdp,period,population
2528817181623,2005-2008,63797987
1460709148123,1997,59964845
1848124153498,2003,62244884
774556302680,1986,57132691
938368438284,1987,57482591
532648802822,1984,56470769
555197109067,1985,56795686
586837009681,1982,55858727
561852138738,1983,56156284
703525302701,1980,55340782
617589619794,1981,55585824
1437817625425,1999-2002,61142977
1023504019381,1988,57836486
1030122352457,1989,58182702
1614245416078,1996,59753098
2829192039171,2014,66495940
2862502085070,2011,65342776
2646994701986,2010,65027512
2808511203185,2013,65972097
2681416108537,2012,65659790
230688922016,1971-1974,53190832
2203678646934,2005,63179356
2421682377730,2015,66808385
700192663213,1984-1987,56970434
1275563306592,1991,58559312
1275300566196,1990,58512808
1330094973361,1993,59106766
1408724907063,1992,58851216
1609892232882,1995,59541900
1401636342155,1994,59327194
615834104224,1979,55130594
508183139534,1978,54947975
411464295266,1977,54764462
373410270417,1976,54541493
362000917852,1975,54252574
286526186579,1974,53882416
265381555686,1973,53441264
204283485045,1972,52959228
166564460755,1971,52480421
1500337850555,2002,61805267
1500275942893,1999,60496715
1368438363736,2000,60912498
1382218344519,2001,61357431
2325011918203,2006,63621376
2663112510265,2007,64016229
2124112242364,2004,62704897
1510758283299,1998,60186291
2923465651091,2008,64374990
2693827452070,2009,64707044
