gdp,period,population
227012097167,2005-2008,10531689
117046198970,1997,10108977
164964195259,2003,10458821
38749715721,1986,10032734
48187667852,1987,10030031
25220451794,1984,9996232
27118476173,1985,10023613
30530759334,1982,9911771
27242331885,1983,9957865
32899759311,1980,9766312
31980423452,1981,9851362
125399653492,1999-2002,10322519
56352797353,1988,10019610
60600056659,1989,10005000
122629812841,1996,10063945
230116913840,2014,10401062
244879869335,2011,10557560
238317631788,2010,10573100
226073492966,2013,10457295
216368178659,2012,10514844
13262224975,1971-1974,8665412
197304513120,2005,10503330
198931394033,2015,10348648
34819077885,1984-1987,10020652
89242382961,1991,9960235
78721607509,1990,9983218
95019103603,1993,9964675
107602689040,1992,9952494
118133634071,1995,10026176
99698453260,1994,9991525
26625439344,1979,9661265
23489924726,1978,9558250
21441635411,1977,9455675
20334835543,1976,9355810
19349512941,1975,9093470
17514112075,1974,8754365
15092052330,1973,8633100
11240223128,1972,8630430
9202512367,1971,8643756
134228697534,2002,10419631
127465545493,1999,10217828
118358489957,2000,10289898
121545880984,2001,10362722
208566948939,2006,10522288
240169336162,2007,10542964
189187437298,2004,10483861
123981736420,1998,10160196
262007590449,2008,10558177
243745748819,2009,10568247
