gdp,period,population
304903126073,2005-2008,5452940
173537588008,1997,5284991
218095997085,2003,5390574
87800282647,1986,5120534
109150052132,1987,5127024
58673426983,1984,5111619
62220601827,1985,5113691
59916301293,1982,5117810
60188398261,1983,5114297
70867465285,1980,5123027
61376989330,1981,5121572
171387650431,1999-2002,5349032
115111916809,1988,5129516
111886844190,1989,5132594
187632400365,1996,5263074
346119472127,2014,5643475
341498686832,2011,5570572
319810991980,2010,5547683
338927058604,2013,5614932
325012162409,2012,5591572
26537414650,1971-1974,5005470
264559522419,2005,5419432
295164313328,2015,5676002
79461090897,1984-1987,5118217
138964910325,1991,5154298
138094873105,1990,5140939
142962900445,1993,5188628
152690732178,1992,5171370
185006961302,1995,5233373
156144903578,1994,5206180
70309794677,1979,5116801
60281337504,1978,5104248
49666416194,1977,5088419
44401699735,1976,5072596
40251071473,1975,5059862
33900564767,1974,5045297
30459579436,1973,5021861
22966364108,1972,4991596
18823150290,1971,4963126
178635160297,2002,5375931
177965224620,1999,5321799
164158800460,2000,5339616
164791416350,2001,5358783
282961088316,2006,5437272
319500339842,2007,5461438
251242843551,2004,5404523
176992000955,1998,5304219
352591553716,2008,5493621
319762353336,2009,5523095
