gdp,period,population
3269977081070,2005-2008,1314320000
958159424835,1997,1230075000
1649928718134,2003,1288400000
298805792971,1986,1066790000
271349773463,1987,1084035000
258082147252,1984,1036825000
307479585852,1985,1051040000
203549627211,1982,1008630000
228950200773,1983,1023310000
189649992463,1980,981235000
194369049090,1981,993885000
1272212248710,1999-2002,1266907500
310722213686,1988,1101630000
345957485871,1989,1118650000
860844098049,1996,1217550000
10351111762216,2014,1364270000
7492432097810,2011,1344130000
6039658508485,2010,1337705000
9490602600148,2013,1357380000
8461623162714,2012,1350695000
122436614480,1971-1974,871356250
2268598904116,2005,1303720000
10866443998394,2015,1371220000
283929324884,1984-1987,1059672500
381454703832,1991,1150780000
358973230048,1990,1135185000
442874596387,1993,1178440000
424934065934,1992,1164970000
732032045217,1995,1204855000
562261129868,1994,1191835000
176856525405,1979,969005000
148382111520,1978,956165000
172349014326,1977,943455000
151627687364,1976,930685000
161162492226,1975,916395000
142254742077,1974,900350000
136769878359,1973,881940000
112159813640,1972,862030000
98562023844,1971,841105000
1461906487857,2002,1280400000
1089447108705,1999,1252735000
1205260678391,2000,1262645000
1332234719889,2001,1271850000
2729784031906,2006,1311020000
3523094314820,2007,1317885000
1941745602165,2004,1296075000
1025276902078,1998,1241935000
4558431073438,2008,1324655000
5059419738267,2009,1331260000
