gdp,period,population
173418386155,2005-2008,7118175
114543978662,1997,5836000
126749741990,2003,6689700
29701444257,1986,4299000
35476344261,1987,4369000
26042766976,1984,4159000
24122660965,1985,4233000
24572712708,1982,4031000
27435501409,1983,4105000
21780968646,1980,3878000
23196333205,1981,3956000
125363335684,1999-2002,6355750
43892480124,1988,4442000
44599772789,1989,4518000
109774101575,1996,5692000
305674837195,2014,8215700
261764344205,2011,7765800
234321743781,2010,7623600
292408330563,2013,8059500
259613579190,2012,7910500
8639161659,1971-1974,3218000
142837533703,2005,6930100
296075434804,2015,8380400
28835804114,1984-1987,4265000
59170286560,1991,4949000
52490325640,1990,4660000
65925583866,1993,5261000
65771216420,1992,5123000
99968784246,1995,5545000
74669719504,1994,5399000
17511335262,1979,3786000
13618844018,1978,3690000
13776267565,1977,3613000
12475947718,1976,3533000
12336986759,1975,3455000
12567588803,1974,3377000
9242160982,1973,3278000
7173788440,1972,3148000
5573108412,1971,3069000
121092701253,2002,6570000
117212358383,1999,6125000
132396684080,2000,6289000
130751599020,2001,6439000
154511423313,2006,7053700
179564275455,2007,7180100
135418563141,2004,6809000
115838004263,1998,5971000
216760312151,2008,7308800
208068814688,2009,7485600
