gdp,country,population
263561088977,Brazil,125107382
306214863624,Canada,24900000
10925997033740,World,4489235553
889050000,Suriname,363309
3210956000000,USA,229466000
6992083055,Trinidad & Tobago,1102562
4566357500,Panama,2026057
2623807081,Costa Rica,2454127
617589619794,France,55585824
1426500000,Bahamas,215404
21074067087,Peru,17792551
429282144779,Italy,56501675
78676842366,Argentina,28543366
5891606676,Bolivia,5711598
63596654760,Norway,4099702
21810767209,Ecuador,8183194
3300943565057,Europe,461473804
23196333205,Israel,3956000
76240987915,Korea,38723248
20150254124,Cuba,9884219
3437200200,El Salvador,4652058
75498829319,Venezuela,15761800
,Slovenia,1906531
8607500300,Guatemala,7310397
194369049090,China,993885000
32644872979,Chile,11400489
105290713602,Belgium,9858982
797443405711,Germany,78407907
7266999800,Dominican Republic,5943591
192900000,Belize,147566
202257045774,Spain,37740556
162039376225,Netherlands,14247208
391150656674,Southern Cone,171257727
61376989330,Denmark,5121572
52485533204,Finland,4799964
3767253890900,North America,325316741
127858412114,Sweden,8320503
11048335541,Uruguay,2935036
,Croatia,4608000
570357116,Guyana,787728
108721034568,Switzerland,6354074
,Haiti,5818673
2979027979,Jamaica,2162300
2819500000,Honduras,3750843
31980423452,Portugal,9851362
160663659421,Andean,75825138
24529065308,Central America,23536148
250083027275,Mexico,70950741
196883474523,India,713561406
843664519514,LAC,356596880
540765675241,United Kingdom,56333829
70863106877,Austria,7568710
36388389129,Colombia,28375995
5219516810,Paraguay,3271454
1201465862932,Japan,117648000
2474700227,Nicaragua,3342666
1114204695,Barbados,253080
