gdp,period,population
1247703137,2005-2008,294649
654314350,1997,221608
990350000,2003,269132
227850000,1986,169570
276550000,1987,174326
210900000,1984,160342
209150000,1985,164916
179250000,1982,151498
189000000,1983,155820
194750000,1980,144151
192900000,1981,147566
842304312,1999-2002,250881
314899999,1988,179025
363150000,1989,183470
641383799,1996,213674
1717861750,2014,351706
1486712300,2011,329193
1397113450,2010,321609
1625828100,2013,344193
1573618750,2012,336707
76707436,1971-1974,128135
1114202700,2005,283279
1763000000,2015,359287
231112500,1984-1987,167288
444720750,1991,191127
413050000,1990,187552
559858250,1993,197615
518239100,1992,194321
620140400,1995,206962
580863700,1994,201678
151800000,1979,141308
136300000,1978,138972
117650000,1977,136991
96905828,1976,135145
118066302,1975,133261
103216371,1974,131306
78343558,1973,129294
66062499,1972,127148
59207317,1971,124792
932551850,2002,262202
732732350,1999,239024
832072450,2000,247312
871860600,2001,254989
1217442150,2006,290751
1290542550,2007,298403
1057849999,2004,276085
688992450,1998,230289
1368625150,2008,306165
1336957250,2009,313925
