gdp,period,population
40545962894,2005-2008,9437431
19593916228,1997,8163474
21277171990,2003,8967759
6122128247,1986,6626544
5827050857,1987,6764623
10330399700,1984,6351572
5044579947,1985,6488857
7964000300,1982,6078816
8622000100,1983,6214857
6631000100,1980,5809271
7266999800,1981,5943591
24292520536,1999-2002,8630288
5374300243,1988,6903314
6686592728,1989,7042940
18131813000,1996,8029114
63968906782,2014,10405943
58361928552,2011,10027140
53864484468,2010,9897983
61198323068,2013,10281408
60595109805,2012,10155036
2230999975,1971-1974,4824989
34004081037,2005,9237565
67103263863,2015,10528391
6831039687,1984-1987,6557899
9724402004,1991,7325622
7073674721,1990,7183646
12976408000,1993,7611463
11277676879,1992,7468551
16358496124,1995,7892420
14511134920,1994,7753052
5498800100,1979,5675930
4774399999,1978,5543520
4587100200,1977,5411867
3951399900,1976,5280727
3599300099,1975,5149934
2925600000,1974,5019471
2344699900,1973,4889437
1987300000,1972,4759935
1666400000,1971,4631114
26571659051,2002,8832286
21709726722,1999,8429116
23996100575,2000,8562623
24892595798,2001,8697127
35952890849,2006,9371333
44073886687,2007,9504336
22039210346,2004,9102997
21171583983,1998,8296375
48152993004,2008,9636491
48193458082,2009,9767737
