gdp,country,population
235024598983,Brazil,122199721
273853826377,Canada,24593000
10642002203169,World,4411686309
794900000,Suriname,362777
2862505000000,USA,227225000
6235833085,Trinidad & Tobago,1085308
4034408100,Panama,1978575
4831447173,Costa Rica,2389309
703525302701,France,55340782
1335300000,Bahamas,210660
17655611231,Peru,17359118
475682508026,Italy,56433883
76961923741,Argentina,28105889
4537487842,Bolivia,5589572
64439382896,Norway,4085620
17881514682,Ecuador,7976449
3730897534202,Europe,459752783
21780968646,Israel,3878000
67802380521,Korea,38123775
19912889808,Cuba,9835177
3573959899,El Salvador,4577683
67135122863,Venezuela,15343917
,Slovenia,1901315
7878700000,Guatemala,7118628
189649992463,China,981235000
27572307600,Chile,11234340
127508322941,Belgium,9859242
946695355820,Germany,78288576
6631000100,Dominican Republic,5809271
194750000,Belize,144151
232134606637,Spain,37439035
192661371425,Netherlands,14149800
353816660929,Southern Cone,167636353
70867465285,Denmark,5123027
53685049410,Finland,4779535
3330715652086,North America,321148974
140088635568,Sweden,8310531
10163020115,Uruguay,2915775
,Croatia,4588000
603200000,Guyana,786614
118710309542,Switzerland,6319408
,Haiti,5688832
2679379382,Jamaica,2133000
2566000050,Honduras,3635862
32899759311,Portugal,9766312
140610448715,Andean,74006961
25028815229,Central America,22949967
194356825709,Mexico,69330974
189594121351,India,697229745
729358963151,LAC,348640666
564947710899,United Kingdom,56314216
81861232822,Austria,7549433
33400712095,Colombia,27737905
4094810488,Paraguay,3180628
1086988088501,Japan,116782000
2144300006,Nicaragua,3249910
1012280570,Barbados,252197
