gdp,period,population
12919963278,2005-2008,5922895
9965225496,1997,4980346
6588103836,2003,5607948
3439716399,1986,3777764
3778316380,1987,3885433
4067222420,1984,3567750
2966234024,1985,3671826
5067450002,1982,3366726
5237432542,1983,3465796
4094810488,1980,3180628
5219516810,1981,3271454
7644072441,1999-2002,5353719
4082625952,1988,3994328
4599970618,1989,4103909
9788391732,1996,4870695
30881166852,2014,6552518
25071195492,2011,6293763
20030528042,2010,6209877
28965906502,2013,6465669
24611039786,2012,6379162
848828762,1971-1974,2628675
8734653809,2005,5795493
27622778722,2015,6639123
3562872305,1984-1987,3725693
6984367762,1991,4323402
5695201563,1990,4213740
7249533620,1993,4541902
7157424031,1992,4432738
9062131307,1995,4760853
7870982170,1994,4651222
3135123879,1979,3094479
2350329157,1978,3012833
1912353339,1977,2935375
1540820245,1976,2861582
1351889403,1975,2790964
1199618980,1974,2723523
889357059,1973,2659084
697291727,1972,2596741
609047284,1971,2535355
6325151760,2002,5508615
8392549702,1999,5196935
8195993230,2000,5302703
7662595075,2001,5406625
10646157920,2006,5882797
13794910633,2007,5966160
8033877360,2004,5703742
9024567484,1998,5089306
18504130752,2008,6047131
15929902138,2009,6127847
